column,cat_value,precision,recall,f1
workclass,Self-emp-inc,0.7651515151515151,0.7372262773722628,0.7509293680297398
workclass,Private,0.7266754270696452,0.5614213197969543,0.6334478808705611
workclass,Self-emp-not-inc,0.7304347826086957,0.5833333333333334,0.6486486486486488
workclass,Local-gov,0.6851851851851852,0.5736434108527132,0.6244725738396625
workclass,Federal-gov,0.6515151515151515,0.6323529411764706,0.6417910447761194
workclass,State-gov,0.7142857142857143,0.5487804878048781,0.6206896551724138
workclass,?,0.5769230769230769,0.40540540540540543,0.47619047619047616
workclass,Without-pay,1.0,1.0,1.0
workclass,Never-worked,1.0,1.0,1.0
education,9th,0.0,0.0,1.0
education,Assoc-acdm,0.6363636363636364,0.375,0.47191011235955066
education,Some-college,0.6705202312138728,0.40559440559440557,0.5054466230936819
education,Masters,0.7680412371134021,0.8054054054054054,0.7862796833773087
education,Bachelors,0.7214137214137214,0.7609649122807017,0.7406616862326574
education,Assoc-voc,0.6097560975609756,0.4166666666666667,0.4950495049504951
education,11th,0.375,0.375,0.375
education,HS-grad,0.6766467065868264,0.3192090395480226,0.43378119001919385
education,Prof-school,0.9512195121951219,0.9629629629629629,0.9570552147239264
education,Doctorate,0.7777777777777778,0.875,0.823529411764706
education,7th-8th,0.3333333333333333,0.2857142857142857,0.30769230769230765
education,5th-6th,1.0,0.5,0.6666666666666666
education,10th,0.46153846153846156,0.375,0.41379310344827586
education,1st-4th,1.0,0.0,0.0
education,12th,0.6666666666666666,0.5,0.5714285714285715
education,Preschool,1.0,1.0,1.0
marital-status,Married-civ-spouse,0.7486136783733827,0.6053811659192825,0.6694214876033057
marital-status,Never-married,0.5222222222222223,0.4351851851851852,0.47474747474747475
marital-status,Separated,0.6666666666666666,0.6666666666666666,0.6666666666666666
marital-status,Widowed,0.7142857142857143,0.4166666666666667,0.5263157894736842
marital-status,Divorced,0.5714285714285714,0.40816326530612246,0.47619047619047616
marital-status,Married-spouse-absent,0.25,0.14285714285714285,0.18181818181818182
marital-status,Married-AF-spouse,0.6666666666666666,0.5,0.5714285714285715
occupation,Adm-clerical,0.6949152542372882,0.36283185840707965,0.47674418604651164
occupation,Exec-managerial,0.7467362924281984,0.7566137566137566,0.7516425755584756
occupation,Tech-support,0.5967741935483871,0.6607142857142857,0.6271186440677966
occupation,Prof-specialty,0.7288557213930348,0.8116343490304709,0.7680209698558321
occupation,Sales,0.8057553956834532,0.5283018867924528,0.6381766381766382
occupation,Craft-repair,0.7682926829268293,0.3351063829787234,0.4666666666666668
occupation,Other-service,0.5,0.2647058823529412,0.3461538461538462
occupation,Handlers-cleaners,0.7777777777777778,0.4117647058823529,0.5384615384615384
occupation,Machine-op-inspct,0.47619047619047616,0.2564102564102564,0.3333333333333333
occupation,?,0.5769230769230769,0.40540540540540543,0.47619047619047616
occupation,Transport-moving,0.7,0.2876712328767123,0.40776699029126207
occupation,Protective-serv,0.46153846153846156,0.11538461538461539,0.18461538461538463
occupation,Armed-Forces,1.0,1.0,1.0
occupation,Farming-fishing,0.5555555555555556,0.6818181818181818,0.6122448979591836
occupation,Priv-house-serv,1.0,1.0,1.0
relationship,Wife,0.7317073170731707,0.5806451612903226,0.6474820143884892
relationship,Husband,0.7542016806722689,0.6089906700593724,0.6738620366025341
relationship,Own-child,0.42857142857142855,0.3333333333333333,0.375
relationship,Not-in-family,0.5611510791366906,0.43820224719101125,0.49211356466876965
relationship,Other-relative,0.3333333333333333,0.3333333333333333,0.3333333333333333
relationship,Unmarried,0.5675675675675675,0.45652173913043476,0.506024096385542
race,White,0.7233676975945017,0.5839112343966713,0.6462010744435918
race,Black,0.6153846153846154,0.4507042253521127,0.5203252032520326
race,Other,1.0,0.3333333333333333,0.5
race,Amer-Indian-Eskimo,0.3333333333333333,0.16666666666666666,0.2222222222222222
race,Asian-Pac-Islander,0.7647058823529411,0.65,0.7027027027027027
sex,Female,0.6428571428571429,0.5338983050847458,0.5833333333333334
sex,Male,0.7339534883720931,0.5861812778603269,0.6517967781908303
native-country,United-States,0.72236727589208,0.574792243767313,0.6401851137678364
native-country,Puerto-Rico,0.6,0.75,0.6666666666666665
native-country,Guatemala,1.0,1.0,1.0
native-country,Mexico,0.6,0.3333333333333333,0.42857142857142855
native-country,Canada,0.5714285714285714,0.6666666666666666,0.6153846153846153
native-country,Columbia,0.0,1.0,0.0
native-country,Ecuador,1.0,0.5,0.6666666666666666
native-country,?,0.6129032258064516,0.6551724137931034,0.6333333333333333
native-country,Poland,0.3333333333333333,0.5,0.4
native-country,Cuba,1.0,0.2,0.33333333333333337
native-country,El-Salvador,1.0,1.0,1.0
native-country,Iran,0.75,1.0,0.8571428571428571
native-country,China,1.0,1.0,1.0
native-country,England,0.875,0.7,0.7777777777777777
native-country,Philippines,1.0,0.45454545454545453,0.625
native-country,India,0.7777777777777778,0.875,0.823529411764706
native-country,Italy,0.0,0.0,1.0
native-country,Haiti,1.0,0.0,0.0
native-country,Ireland,1.0,1.0,1.0
native-country,Laos,1.0,1.0,1.0
native-country,France,0.0,0.0,1.0
native-country,Japan,1.0,0.8181818181818182,0.9
native-country,South,0.6666666666666666,1.0,0.8
native-country,Outlying-US(Guam-USVI-etc),1.0,1.0,1.0
native-country,Peru,1.0,0.0,0.0
native-country,Thailand,1.0,0.5,0.6666666666666666
native-country,Taiwan,1.0,0.8,0.888888888888889
native-country,Honduras,1.0,1.0,1.0
native-country,Greece,1.0,1.0,1.0
native-country,Cambodia,1.0,0.0,0.0
native-country,Dominican-Republic,1.0,1.0,1.0
native-country,Jamaica,1.0,1.0,1.0
native-country,Germany,0.6666666666666666,0.5714285714285714,0.6153846153846153
native-country,Vietnam,0.0,1.0,0.0
native-country,Scotland,0.0,0.0,1.0
native-country,Hungary,0.0,1.0,0.0
native-country,Nicaragua,1.0,1.0,1.0
native-country,Hong,0.0,0.0,1.0
native-country,Portugal,1.0,0.0,0.0
native-country,Yugoslavia,0.5,1.0,0.6666666666666666
native-country,Trinadad&Tobago,1.0,1.0,1.0
